Date Time,Event,Actual
1/3/12,FOMC Meeting Minutes,--
1/3/12,Construction Spending MoM,1.20%
1/3/12,ISM Prices Paid,47.5
1/3/12,ISM Manufacturing,53.9
1/4/12,MBA Mortgage Applications,-4.10%
1/4/12,Factory Orders,1.80%
1/4/12,Wards Total Vehicle Sales,13.48
1/5/12,Challenger Job Cuts YoY,30.60%
1/5/12,ADP Employment Change,325
1/5/12,Initial Jobless Claims,372
1/5/12,Continuing Claims,3595
1/5/12,Langer Consumer Comfort,-44.8
1/5/12,ISM Services Index,52.6
1/6/12,Change in Nonfarm Payrolls,200
1/6/12,Change in Private Payrolls,212
1/6/12,Change in Manufact. Payrolls,23
1/6/12,Unemployment Rate,8.50%
1/6/12,Underemployment Rate,15.20%
1/6/12,Average Hourly Earnings MoM,0.20%
1/6/12,Average Hourly Earnings YoY,2.10%
1/6/12,Average Weekly Hours All Employees,34.4
1/9/12,Consumer Credit,$20.37 
1/10/12,NFIB Small Business Optimism,93.8
1/10/12,Wholesale Inventories MoM,0.10%
1/10/12,JOLTS Job Openings,3161
1/11/12,MBA Mortgage Applications,4.50%
1/12/12,Retail Sales Advance MoM,0.10%
1/12/12,Retail Sales Ex Auto MoM,-0.20%
1/12/12,Retail Sales Ex Auto and Gas,0.00%
1/12/12,Retail Sales Control Group,-0.20%
1/12/12,Initial Jobless Claims,399
1/12/12,Continuing Claims,3628
1/12/12,Langer Consumer Comfort,-44.7
1/12/12,Business Inventories,0.30%
1/12/12,Monthly Budget Statement,($86.00)
1/13/12,Import Price Index MoM,-0.10%
1/13/12,Import Price Index YoY,8.50%
1/13/12,Trade Balance,($47.80)
1/13/12,U. of Mich. Sentiment,74
1/17/12,Empire Manufacturing,13.5
1/18/12,MBA Mortgage Applications,23.10%
1/18/12,Total Net TIC Flows,$48.60 
1/18/12,Net Long-term TIC Flows,$59.80 
1/18/12,Industrial Production MoM,0.40%
1/18/12,Capacity Utilization,78.10%
1/18/12,NAHB Housing Market Index,25
1/19/12,CPI MoM,0.00%
1/19/12,CPI Ex Food and Energy MoM,0.10%
1/19/12,CPI YoY,3.00%
1/19/12,CPI Ex Food and Energy YoY,2.20%
1/19/12,CPI Index NSA,225.672
1/19/12,CPI Core Index SA,227.166
1/19/12,Housing Starts,657
1/19/12,Housing Starts MoM,-4.10%
1/19/12,Building Permits,679
1/19/12,Initial Jobless Claims,352
1/19/12,Continuing Claims,3432
1/19/12,Langer Consumer Comfort,-47.4
1/19/12,Philadelphia Fed Business Outlook,7.3
1/20/12,Existing Home Sales,4.61
1/20/12,Existing Home Sales MoM,5.00%
1/24/12,Richmond Fed Manufact. Index,12
1/25/12,MBA Mortgage Applications,-5.00%
1/25/12,FHFA House Price Index MoM,1.00%
1/25/12,Pending Home Sales MoM,-3.50%
1/25/12,Pending Home Sales NSA YoY,4.40%
1/25/12,FOMC Rate Decision (Upper Bound),0.25%
1/26/12,Chicago Fed Nat Activity Index,0.17
1/26/12,Durable Goods Orders,3.00%
1/26/12,Durables Ex Transportation,2.10%
1/26/12,Cap Goods Orders Nondef Ex Air,2.90%
1/26/12,Cap Goods Ship Nondef Ex Air,2.90%
1/26/12,Initial Jobless Claims,377
1/26/12,Continuing Claims,3554
1/26/12,Langer Consumer Comfort,-46.4
1/26/12,Leading Index,0.40%
1/26/12,New Home Sales,307
1/26/12,New Home Sales MoM,-2.20%
1/26/12,Kansas City Fed Manf. Activity,7
1/27/12,GDP Annualized QoQ,2.80%
1/27/12,Personal Consumption,2.00%
1/27/12,GDP Price Index,0.40%
1/27/12,Core PCE QoQ,1.10%
1/27/12,U. of Mich. Sentiment,75
1/30/12,Personal Income,0.50%
1/30/12,Personal Spending,0.00%
1/30/12,PCE Deflator YoY,2.40%
1/30/12,PCE Core Deflator MoM,0.20%
1/30/12,PCE Core Deflator YoY,1.80%
1/30/12,Dallas Fed Manf. Activity,15.3
1/31/12,Employment Cost Index,0.40%
1/31/12,MNI Chicago PMI,60.2
1/31/12,Conf. Board Consumer Confidence,61.1
2/1/12,MBA Mortgage Applications,-2.90%
2/1/12,ADP Employment Change,170
2/1/12,Construction Spending MoM,1.50%
2/1/12,ISM Prices Paid,55.5
2/1/12,ISM Manufacturing,54.1
2/1/12,Wards Total Vehicle Sales,14.13
2/2/12,Challenger Job Cuts YoY,38.90%
2/2/12,Nonfarm Productivity,0.70%
2/2/12,Unit Labor Costs,1.20%
2/2/12,Initial Jobless Claims,367
2/2/12,Continuing Claims,3437
2/2/12,Langer Consumer Comfort,-44.8
2/3/12,Change in Nonfarm Payrolls,243
2/3/12,Change in Private Payrolls,257
2/3/12,Change in Manufact. Payrolls,50
2/3/12,Unemployment Rate,8.30%
2/3/12,Average Hourly Earnings MoM,0.20%
2/3/12,Average Hourly Earnings YoY,1.90%
2/3/12,Average Weekly Hours All Employees,34.5
2/3/12,Underemployment Rate,15.10%
2/3/12,Factory Orders,1.10%
2/3/12,ISM Services Index,56.8
2/7/12,JOLTS Job Openings,3376
2/7/12,Consumer Credit,$19.31 
2/8/12,MBA Mortgage Applications,7.50%
2/9/12,Initial Jobless Claims,358
2/9/12,Continuing Claims,3515
2/9/12,Langer Consumer Comfort,-41.7
2/9/12,Wholesale Inventories MoM,1.00%
2/10/12,Trade Balance,($48.80)
2/10/12,U. of Mich. Sentiment,72.5
2/10/12,Monthly Budget Statement,($27.40)
2/14/12,NFIB Small Business Optimism,93.9
2/14/12,Import Price Index MoM,0.30%
2/14/12,Import Price Index YoY,7.10%
2/14/12,Retail Sales Advance MoM,0.40%
2/14/12,Retail Sales Ex Auto MoM,0.70%
2/14/12,Retail Sales Ex Auto and Gas,0.60%
2/14/12,Retail Sales Control Group,0.70%
2/14/12,Business Inventories,0.40%
2/15/12,MBA Mortgage Applications,-1.00%
2/15/12,Empire Manufacturing,19.5
2/15/12,Total Net TIC Flows,$87.10 
2/15/12,Net Long-term TIC Flows,$17.90 
2/15/12,Industrial Production MoM,0.00%
2/15/12,Capacity Utilization,78.50%
2/15/12,NAHB Housing Market Index,29
2/15/12,FOMC Meeting Minutes,--
2/16/12,Initial Jobless Claims,348
2/16/12,Continuing Claims,3426
2/16/12,Housing Starts,699
2/16/12,Housing Starts MoM,1.50%
2/16/12,Building Permits,676
2/16/12,Langer Consumer Comfort,-39.8
2/16/12,Mortgage Delinquencies,7.58%
