Date,ADP Employment Change,Average Hourly Earnings MoM,Average Hourly Earnings YoY,Average Weekly Hours All Employees,Building Permits,Business Inventories,Cap Goods Orders Nondef Ex Air,Cap Goods Ship Nondef Ex Air,Capacity Utilization,Challenger Job Cuts YoY,Change in Manufact. Payrolls,Change in Nonfarm Payrolls,Change in Private Payrolls,Chicago Fed Nat Activity Index,Conf. Board Consumer Confidence,Construction Spending MoM,Consumer Credit,Continuing Claims,Core PCE QoQ,CPI Core Index SA,CPI Ex Food and Energy MoM,CPI Ex Food and Energy YoY,CPI Index NSA,CPI MoM,CPI YoY,Current Account Balance,Dallas Fed Manf. Activity,Durable Goods Orders,Durables Ex Transportation,Empire Manufacturing,Employment Cost Index,Existing Home Sales,Existing Home Sales MoM,Factory Orders,FHFA House Price Index MoM,FOMC Meeting Minutes,FOMC Rate Decision (Lower Bound),FOMC Rate Decision (Upper Bound),GDP Annualized QoQ,GDP Price Index,House Price Purchase Index QoQ,Household Change in Net Worth,Housing Starts,Housing Starts MoM,Import Price Index MoM,Import Price Index YoY,Industrial Production MoM,Initial Jobless Claims,ISM Manufacturing,ISM Prices Paid,ISM Services Index,JOLTS Job Openings,Kansas City Fed Manf. Activity,Labor Force Participation Rate,Langer Consumer Comfort,Leading Index,Manufacturing (SIC) Production,MBA Mortgage Applications,MBA Mortgage Foreclosures,MNI Chicago PMI,Monthly Budget Statement,Mortgage Delinquencies,NAHB Housing Market Index,Net Long-term TIC Flows,New Home Sales,New Home Sales MoM,NFIB Small Business Optimism,Nonfarm Productivity,PCE Core Deflator MoM,PCE Core Deflator YoY,PCE Deflator MoM,PCE Deflator YoY,Pending Home Sales MoM,Pending Home Sales NSA YoY,Personal Consumption,Personal Income,Personal Spending,Philadelphia Fed Business Outlook,"PPI Ex Food, Energy, Trade MoM","PPI Ex Food, Energy, Trade YoY",PPI Final Demand MoM,PPI Final Demand YoY,Real Avg Weekly Earnings YoY,Real Personal Spending,Retail Sales Advance MoM,Retail Sales Control Group,Retail Sales Ex Auto and Gas,Retail Sales Ex Auto MoM,Richmond Fed Manufact. Index,Total Net TIC Flows,Trade Balance,Two-Month Payroll Net Revision,U. of Mich. 1 Yr Inflation,U. of Mich. 5-10 Yr Inflation,U. of Mich. Current Conditions,U. of Mich. Expectations,U. of Mich. Sentiment,Underemployment Rate,Unemployment Rate,Unit Labor Costs,Wards Total Vehicle Sales,Wholesale Inventories MoM,Wholesale Trade Sales MoM,Grand Total
1/3/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1/3/12,,,,,,,,,,,,,,,,0.012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.9,47.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.412
1/4/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.041
1/4/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.018
1/4/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.48,,,13.48
1/5/12,,,,,,,,,,0.306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.306
1/5/12,325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,325
1/5/12,,,,,,,,,,,,,,,,,,3595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3967
1/5/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-44.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-44.8
1/5/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.6
