Date,close,open,high,low,volume
1/4/2012,103.22,99.7,103.18,99.65,100
1/5/2012,101.81,102.99,103.74,101.88,100
1/6/2012,101.56,103.29,103.73,101.3,100
1/9/2012,101.31,101.35,102.8,100.88,100
1/10/2012,102.24,101.92,102.15,100.1,100
1/11/2012,100.87,101.3,103.41,101.3,100
1/12/2012,99.1,102.2,102.46,100.55,100
1/13/2012,98.7,101,102.98,98.5,100
1/17/2012,100.71,99.2,100.19,97.7,100
1/18/2012,100.59,99.66,101.01,98.6,100
1/19/2012,100.39,100.91,102.06,99.84,100
1/20/2012,98.46,101.14,102.06,99.98,100
1/23/2012,99.58,100.39,100.74,97.91,100
1/24/2012,98.95,98.34,100.24,97.4,100
1/25/2012,99.4,99.88,100.18,98.25,100
1/26/2012,99.7,99.2,100.4,97.53,100
1/27/2012,99.56,99.96,101.39,99.23,100
1/30/2012,98.78,99.93,100.63,99.13,100
1/31/2012,98.48,100,100.05,98.43,100
2/1/2012,97.61,98.88,101.29,97.86,100
2/2/2012,96.36,98.38,99.49,97.11,100
2/3/2012,97.84,97.11,97.99,95.44,100
2/6/2012,96.91,96.61,98.03,96.01,100
2/7/2012,98.41,97.74,97.75,96.38,100
2/8/2012,98.71,97.13,99.13,95.84,100
2/9/2012,99.84,98.77,100.09,98.1,100
2/10/2012,98.67,99.1,100.18,98.66,100
2/13/2012,100.91,99.89,99.89,97.32,100
2/14/2012,100.74,99.33,101,99.09,100
2/15/2012,101.8,100.73,101.84,100.28,100
2/16/2012,102.31,100.9,102.54,100.61,100
2/17/2012,103.24,101.9,102.69,100.84,100
2/21/2012,105.84,102.35,104.14,102.25,100
2/22/2012,106.28,104.65,106.07,104.26,100
2/23/2012,107.83,106.01,106.72,105.61,100
2/24/2012,109.77,105.95,108.74,105.45,100
2/27/2012,108.56,108.66,109.95,107.95,100
2/28/2012,106.55,109.67,109.77,107.27,100
2/29/2012,107.07,107.95,108.79,106.3,100
3/1/2012,108.84,106.46,107.43,104.84,100
3/2/2012,106.7,106.82,110.55,106.55,100
3/5/2012,106.72,108.75,109.03,105.8,100
3/6/2012,104.7,106.75,107.42,105.5,100
3/7/2012,106.16,107.11,107.34,104.51,100
3/8/2012,106.58,104.93,106.55,104.35,100
3/9/2012,107.4,106.24,107.2,105.84,100
3/12/2012,106.34,106.91,108.2,106.13,100
3/13/2012,106.71,107.5,107.56,105.38,100
3/14/2012,105.43,106.55,107.35,105.67,100
3/15/2012,105.11,106.69,107.02,105.12,100
3/16/2012,107.06,105.5,106.18,103.78,100
3/19/2012,108.09,105.44,107.34,105.13,100
3/20/2012,105.61,107.18,108.24,106.55,100
3/21/2012,107.27,107.82,107.91,105.35,100
3/22/2012,105.35,106.33,107.64,106.06,100
3/23/2012,106.87,106.81,107.12,104.5,100
3/26/2012,107.03,105.52,108.25,105.16,100
3/27/2012,107.33,106.79,107.32,106.19,100
3/28/2012,105.41,107.09,107.73,106.52,100
3/29/2012,102.78,106.81,106.94,104.67,100
3/30/2012,103.02,105.58,105.7,102.13,100
4/2/2012,105.23,103.29,104.15,102.78,100
4/3/2012,104.01,103.27,105.49,102.06,100
4/4/2012,101.47,105.04,105.18,103.59,100
4/5/2012,103.31,104.09,104.12,101.08,100
4/9/2012,102.46,101.96,103.4,101.37,100
4/10/2012,101.02,102.53,102.6,100.81,100
4/11/2012,102.7,102.33,102.96,100.68,100
4/12/2012,103.64,100.94,103.13,100.84,100
4/13/2012,102.83,102.55,104.24,102.39,100
4/16/2012,102.93,103.66,103.9,102.61,100
4/17/2012,104.2,102.8,103.37,101.8,100
4/18/2012,102.67,103.15,105.07,102.66,100
4/19/2012,102.27,104.22,104.51,102.19,100
4/20/2012,103.05,102.73,103.21,101.67,100
4/23/2012,103.11,102.57,104.27,102.45,100
4/24/2012,103.55,103.82,103.9,101.82,100
4/25/2012,104.12,103.11,104.1,102.79,100
4/26/2012,104.55,103.76,104.57,103.11,100
4/27/2012,104.93,103.96,104.92,103.84,100
4/30/2012,104.87,104.1,105,103.74,100
5/1/2012,106.16,104.93,105.16,103.88,100
5/2/2012,105.22,104.89,106.43,104.39,100
5/3/2012,102.54,105.98,106.05,104.91,100
5/4/2012,98.49,105.39,105.42,102.36,100
5/7/2012,97.94,102.59,102.72,97.51,100
5/8/2012,97.01,98.05,98.24,95.34,100
5/9/2012,96.81,97.96,98.12,95.52,100
5/10/2012,97.08,97.38,97.39,95.17,100
5/11/2012,96.13,96.45,97.69,96.08,100
5/14/2012,94.78,96.53,97.2,95.56,100
5/15/2012,93.98,95.79,95.83,93.65,100
5/16/2012,92.81,93.91,95.48,93.02,100
5/17/2012,92.56,93.16,94.16,91.81,100
5/18/2012,91.48,92.77,93.88,92.09,100
5/21/2012,92.57,92.86,92.88,90.93,100
5/22/2012,91.66,91.27,93.06,90.84,100
5/23/2012,89.9,92.64,93.01,91.39,100
5/24/2012,90.66,91.54,91.72,89.28,100
5/25/2012,90.86,90.53,91.52,89.81,100
5/29/2012,90.76,90.79,91.32,90.2,100
5/30/2012,87.82,91,92.21,90.25,100
5/31/2012,86.53,90.86,90.92,87.27,100
6/1/2012,83.23,87.55,88.28,85.86,100
6/4/2012,83.98,86.44,86.59,82.29,100
6/5/2012,84.29,82.96,84.38,81.21,100
6/6/2012,85.02,84.14,84.92,83.31,100
6/7/2012,84.82,84.12,86.27,84.03,100
6/8/2012,84.1,85.5,87.03,83.43,100
6/11/2012,82.7,83.63,84.67,82,100
6/12/2012,83.32,85.72,86.64,81.11,100
6/13/2012,82.62,81.18,83.72,81.07,100
6/14/2012,83.91,83.51,84.01,82.15,100
6/15/2012,84.03,82.44,84.42,82.27,100
6/18/2012,83.27,84.33,84.8,83.42,100
6/19/2012,84.03,85.09,85.6,82.04,100
6/20/2012,81.8,83.06,84.41,82.28,100
6/21/2012,78.2,84.04,84.34,80.91,100
6/22/2012,79.76,81.08,81.2,77.93,100
6/25/2012,79.21,78.11,80.37,77.56,100
6/26/2012,79.36,80.2,80.68,78.03,100
6/27/2012,80.21,79.23,79.68,78.36,100
6/28/2012,77.69,79.47,80.92,78.68,100
