Date,close,open,high,low,volume
12/30/2011,1564.91,1545.68,1581.46,1545.03,100
1/2/2012,1566.37,1569.7,1570.96,1566.34,100
1/3/2012,1603.95,1565.85,1607.49,1565.82,100
1/4/2012,1611.95,1603.95,1618.74,1593.02,100
1/5/2012,1622.71,1611.97,1625.89,1597,100
1/6/2012,1617.08,1622.71,1631.18,1608.9,100
1/9/2012,1611.15,1616.78,1623.59,1605.23,100
1/10/2012,1632.33,1611.18,1640.33,1608.68,100
1/11/2012,1641.99,1632.75,1647.3,1630.37,100
1/12/2012,1649.99,1641.94,1662.1,1640.31,100
1/13/2012,1638.92,1650,1650.1,1625.51,100
1/16/2012,1643.88,1638.52,1647.15,1631.65,100
1/17/2012,1652.38,1643.88,1667.76,1641.9,100
1/18/2012,1659.84,1652.28,1662.5,1643,100
1/19/2012,1658.5,1659.84,1670.13,1649.39,100
1/20/2012,1666.6,1658.38,1667.03,1645.23,100
1/23/2012,1676.85,1666.68,1681.54,1662.7,100
1/24/2012,1665.25,1676.97,1679.88,1661.63,100
1/25/2012,1710.8,1665.3,1713.22,1649.23,100
1/26/2012,1720.08,1710.8,1730.48,1703.28,100
1/27/2012,1738.95,1721.7,1740.11,1714.7,100
1/30/2012,1729.85,1737.42,1740.04,1716.44,100
1/31/2012,1737.76,1729.85,1747.66,1727.65,100
2/1/2012,1743.53,1737.86,1751.09,1732.68,100
2/2/2012,1759.55,1743.9,1761.28,1741.25,100
2/3/2012,1726.33,1759.68,1763.2,1723.75,100
2/6/2012,1720.25,1726.3,1738.3,1712.59,100
2/7/2012,1745.45,1720.3,1750.07,1710.35,100
2/8/2012,1733.13,1745.25,1752.05,1724.66,100
2/9/2012,1729.54,1733.07,1751.41,1725.99,100
2/10/2012,1721.85,1729.51,1734.9,1704.88,100
2/13/2012,1722.25,1725.4,1733.36,1716.22,100
2/14/2012,1720.23,1722.2,1727.73,1712.18,100
2/15/2012,1728.18,1720.25,1737.2,1718.63,100
2/16/2012,1728.25,1728.25,1730.07,1705.53,100
2/17/2012,1723.49,1728.23,1735.72,1717.41,100
2/20/2012,1734.93,1723.78,1737.25,1723.78,100
2/21/2012,1759.25,1734.08,1760.1,1731.05,100
2/22/2012,1776.3,1759.26,1781.75,1749.45,100
2/23/2012,1780.78,1776.3,1787.43,1772.2,100
2/24/2012,1772.35,1780.75,1782.91,1770.7,100
2/27/2012,1767.65,1774.18,1779.47,1761.72,100
2/28/2012,1784.25,1767.68,1789.73,1765.9,100
2/29/2012,1696.76,1784.25,1790.75,1689,100
3/1/2012,1718.25,1696.77,1725.93,1694.53,100
3/2/2012,1712.45,1718.35,1724.36,1705.07,100
3/5/2012,1706.32,1711.05,1717.26,1694.04,100
